Location Label,Latitude,Longitude,Contributer,Notes,Themes
AllentownPA,40.6022939,-75.4714098,id0,,"""Party, Fun, Celebration"""
NewYorkNY,40.7127753,-74.0059728,id0,,"""Party"""
TrentonNJ,40.2205824,-74.759717,id0,,"""Weather"""
HartfordCT,41.7658043,-72.6733723,id0,,"""Family, Sightseeing, Nature"""
ProvidenceRI,41.8239891,-71.4128343,id0,,"""Sightseeing"""
AlbanyNY,42.6525793,-73.7562317,id0,,"""Celebration, Nature"""
RochesterNY,43.1565778,-77.6088465,id0,,"""Relax"""
BuffaloNY,42.8864467,-78.8783689,id0,,"""Nature, Weather, Party, Family"""
ConcordNH,43.2081366,-71.5375718,id0,,"""Weather, Relax, Food, Celebration"""
PortlandME,43.6590993,-70.2568189,id0,,"""Food, Family, Relax, Sports"""
MontpelierVT,44.2600592,-72.5753869,id0,,"""Sightseeing, Fun"""
AugustaME,44.3106241,-69.7794897,id0,,"""Sports"""
GrandRapidsMI,42.9633599,-85.6680863,id0,,"""Fun, Sports, Celebration"""
LansingMI,42.732535,-84.5555347,id0,,"""Food, Weather, Sightseeing, Fun"""
GreenBayWI,44.5133188,-88.0132958,id0,,"""Weather"""
MilwaukeeWI,43.0389025,-87.9064736,id0,,"""Party, Celebration, Nature"""
TucsonAZ,32.2539787,-110.9741769,id0,,"""Sightseeing, Fun, Food"""
SpokaneWA,47.6579711,-117.4235319,id0,,"""Nature, Food, Celebration"""
ScrantonPA,41.408969,-75.6624121,id0,,"""Family, Relax"""
SyracuseNY,43.0481221,-76.1474243,id0,,"""Weather, Sightseeing, Fun, Sports"""
EriePA,42.129224,-80.085059,id0,,"""Party, Fun"""
BurlingtonCO,39.3061082,-102.2693563,id0,,"""Food, Family"""
MountHollyNJ,39.9934,-74.7883,Id1,,"""Relax, Sightseeing, Sports"""
FayettevilleNC,35.0421,-78.8784,Id1,,"""Celebration, Family, Nature"""
GrovetownGA,33.4508,-82.1992,Id1,,"""Food, Weather"""
HuntingtonWV,38.4137,-82.4467,Id10,,"""Fun, Family, Nature, Sightseeing"""
FairmontWV,39.4755,-80.1393,Id10,,"""Relax, Fun, Weather"""
PittsburghPA,40.4406,-79.9959,Id10,,"""Nature, Party"""
WatertownTN,36.1011,-86.1621,Id11,,"""Sightseeing, Food, Fun"""
GatlinburgTN,35.7143,-83.5102,Id11,,"""Weather, Party, Nature"""
AthensTN,35.4429,-84.593,Id11,,"""Fun, Weather, Sports"""
AshevilleNC,35.5951,-82.5515,Id12,,"""Sightseeing, Celebration"""
BooneNC,36.2168,-81.6746,Id12,,"""Party, Sports, Nature"""
WilmingtonNC,34.2104,-77.8868,Id12,,"""Fun, Relax, Food"""
LexingtonTN,35.6509,-88.3934,Id13,,"""Celebration, Family, Weather"""
SpartaTN,35.9259,-85.4641,Id13,,"""Food, Sightseeing, Relax"""
AlbanyKY,36.6909,-85.1347,Id13,,"""Nature, Fun, Celebration"""
AbileneTX,32.4534,-99.7385,Id14,,"""Weather, Family, Sports"""
MidlandTX,32.0002,-102.0748,Id14,,"""Party, Sightseeing"""
OdessaTX,31.8458,-102.3669,Id14,,"""Fun, Celebration, Nature"""
PecosTX,31.4234,-103.4922,Id14,,"""Sports, Relax, Family"""
CarlsbadNM,32.4267,-104.2265,Id14,,"""Food, Nature, Party"""
RoswellNM,33.3943,-104.523,Id14,,"""Sightseeing, Celebration, Weather"""
AlamogordoNM,32.8994,-105.9586,Id14,,"""Fun, Weather, Relax"""
DemingNM,32.2719,-107.7568,Id14,,"""Family, Party, Food"""
LordsburgNM,32.3525,-108.7075,Id14,,"""Nature, Celebration, Sightseeing"""
SaffordAZ,32.8355,-109.7073,Id14,,"""Relax, Family, Party"""
GlobeAZ,33.396,-110.7849,Id14,,"""Food, Fun, Weather"""
PhoenixAZ,33.451,-112.073,Id14,,"""Sports, Sightseeing, Nature"""
KingmanAZ,35.1983,-114.0528,Id14,,"""Family, Party, Fun"""
LasVegasNV,36.1752,-115.1383,Id14,,"""Relax, Celebration, Weather"""
BarstowCA,34.9015,-117.0144,Id14,,"""Nature, Food, Sightseeing"""
RiversideCA,33.9826,-117.3743,Id14,,"""Weather, Sports, Party"""
UrbanaIL,40.1106,-88.2111,Id16,,"""Fun, Sightseeing, Family"""
ChampaignIL,40.1164,-88.2434,Id16,,"""Celebration, Food, Relax"""
MadisonWI,43.0722,-89.4008,Id16,,"""Sightseeing, Nature, Relax"""
CookevilleTN,36.1628,-85.5016,Id17,,"""Family, Food, Celebration"""
ColumbiaSC,34.0007,-81.0348,Id17,,"""Fun, Party"""
BirminghamAL,33.5186,-86.8104,Id17,,"""Sports, Weather, Nature"""
EvansvilleIN,37.9716,-87.5711,Id18,,"""Relax, Food, Celebration"""
SpringfieldTN,36.5092,-86.885,Id18,,"""Party, Sightseeing, Food"""
BurkesvilleKY,36.7903,-85.3705,Id18,,"""Nature, Fun, Sports"""
AthensAL,34.8029,-86.9717,Id19,,"""Food, Celebration, Family"""
PigeonForgeTN,35.7884,-83.5543,Id19,,"""Sports, Fun, Weather"""
GadsenAL,34.0101,-86.0104,Id19,,"""Relax, Party, Nature"""
Soddy-DaisyTN,35.2359,-85.1908,Id2,,"""Sightseeing, Weather, Celebration"""
ShilohTN,35.1154,-88.3617,Id2,,"""Fun, Nature, Relax"""
RinggoldGA,34.9159,-85.1091,Id2,,"""Family, Sports, Party"""
MetropolisIL,37.1512,-88.732,Id2,,"""Food, Fun, Sightseeing"""
MonticelloKY,36.8298,-84.8491,Id2,,"""Weather, Celebration, Nature"""
GuntersvilleAL,34.3581,-86.2947,Id2,,"""Relax, Party, Food"""
FortCampbellKY,36.6522,-87.4558,Id21,,"""Nature, Sightseeing, Fun"""
MurfreesboroTN,35.8461,-86.3903,Id21,,"""Family, Food, Sports"""
ClarksvilleTN,36.5298,-87.3595,Id21,,"""Celebration, Fun, Relax"""
FortWayneIN,41.0793,-85.1394,Id22,,"""Sightseeing, Party, Nature"""
DetroitMI,42.3313,-83.0443,Id22,,"""Sports, Food, Weather"""
AnnArborMI,42.2814,-83.7509,Id22,,"""Fun, Relax, Celebration"""
ToledoOH,41.655,-83.5304,Id22,,"""Sightseeing, Nature, Family"""
TuscaloosaAL,33.2098,-87.5692,Id23,,"""Party, Weather, Fun"""
WarriorAL,33.8143,-86.8094,Id23,,"""Food, Family, Relax"""
ColumbusMS,33.4957,-88.4273,Id23,,"""Celebration, Sports, Nature"""
AtlantaGA,33.7488,-84.3863,Id24,,"""Sightseeing, Fun, Party"""
HuntsvilleAL,34.7304,-86.5861,Id24,,"""Nature, Weather, Food"""
AthensGA,33.9519,-83.3576,Id24,,"""Relax, Family, Celebration"""
MontroseGA,32.5617,-83.1531,Id24,,"""Sports, Party, Fun"""
SavannahGA,32.0762,-81.0884,Id24,,"""Food, Sightseeing, Weather"""
JacksonvilleFL,30.3322,-81.6557,Id24,,"""Family, Nature, Relax"""
OrlandoFL,28.5384,-81.3789,Id24,,"""Celebration, Fun, Party"""
WestPalmBeachFL,26.7153,-80.0534,Id24,,"""Weather, Sightseeing, Sports"""
MiamiFL,25.7617,-80.1918,Id24,,"""Food, Relax, Nature"""
FortMyersFL,26.6406,-81.8723,Id24,,"""Party, Family, Fun"""
TampaFL,27.9642,-82.4526,Id24,,"""Sports, Sightseeing, Celebration"""
GainesvilleFL,29.6516,-82.3248,Id24,,"""Nature, Fun, Weather"""
TallahasseeFL,30.4382,-84.2806,Id24,,"""Relax, Party, Food"""
MaconGA,32.8407,-83.6347,Id24,,"""Sightseeing, Family, Sports"""
KingsportTN,36.5484,-82.5618,Id26,,"""Fun, Celebration, Weather"""
LivingstonTN,36.3834,-85.323,Id26,,"""Food, Nature, Party"""
MartinTN,36.3434,-88.8503,Id26,,"""Sports, Relax, Family"""
CrestviewFL,30.7542,-86.5728,id27,,"""Sightseeing, Weather, Fun"""
BlountstownFL,30.4435,-85.0452,id27,,"""Celebration, Relax, Nature"""
PensacolaFL,30.4213,-87.2169,id27,,"""Party, Food, Sports"""
KnoxvilleTN,35.9606,-83.9207,id28,,"""Family, Fun, Sightseeing"""
ChattanoogaTN,35.0456,-85.3097,id28,,"""Weather, Nature, Relax"""
LynchburgTN,35.2831,-86.3742,id28,edges still missing,"""Food, Celebration, Party"""
McMinnvilleTN,35.6805,-85.7746,id28,,"""Sightseeing, Fun, Sports"""
MontgomeryAL,32.3792,-86.3077,id28,,"""Relax, Nature, Food"""
HendersonvilleTN,36.3039,-86.6244,id28,,"""Fun, Celebration, Sightseeing"""
MobileAL,30.6954,-88.0399,id28,,"""Weather, Party, Family"""
DothanAL,31.2243,-85.3911,id28,,"""Sports, Food, Nature"""
PanamaCityFL,30.1588,-85.6602,id28,,"""Celebration, Relax, Sightseeing"""
ShadyGroveFL,30.288,-83.6318,id28,,"""Family, Fun, Weather"""
AshlandCityTN,36.2742,-87.0642,Id29,,"""Party, Nature, Food"""
WhiteBluffTN,36.1076,-87.2208,Id29,,"""Sightseeing, Sports, Relax"""
FranklinTN,35.9251,-86.8689,Id29,,"""Fun, Weather, Celebration"""
CampbellsvilleKY,37.3434,-85.3419,Id3,,"""Family, Food, Sightseeing"""
SomersetKY,37.092,-84.6041,Id3,,"""Relax, Party, Nature"""
GlasgowKY,36.9959,-85.9119,Id3,,"""Sightseeing, Fun, Sports"""
LittleRockAR,34.7445,-92.288,Id30,,"""Weather, Celebration, Food"""
NewBostonTX,33.4598,-94.4155,Id30,,"""Nature, Family, Fun"""
DallasTX,32.7767,-96.797,Id30,,"""Party, Relax, Sightseeing"""
StLouisMO,38.6269,-90.1994,Id31,,"""Sports, Food, Weather"""
ColumbiaMO,38.9517,-92.3339,Id31,,"""Celebration, Nature, Fun"""
KansasCityMO,39.0997,-94.5783,Id31,,"""Family, Sightseeing, Party"""
OmahaNE,41.2565,-95.9338,Id31,,"""Food, Relax, Weather"""
SiouxFallsSD,43.5419,-96.7326,Id31,,"""Fun, Sports, Nature"""
VivianSD,43.9274,-100.291,Id31,,"""Sightseeing, Celebration, Family"""
SturgisSD,44.4068,-103.514,Id31,,"""Weather, Relax, Party"""
LameDeerMT,45.6241,-106.668,Id31,,"""Fun, Nature, Food"""
BigTimberMT,45.8375,-109.956,Id31,,"""Sports, Family, Sightseeing"""
DeerLodgeMT,46.3981,-112.738,Id31,,"""Relax, Celebration, Weather"""
MullanID,47.4718,-115.818,Id31,,"""Party, Fun, Nature"""
MosesLakeWA,47.1271,-119.282,Id31,,"""Food, Sightseeing, Sports"""
SeattleWA,47.6061,-122.348,Id31,,"""Family, Weather, Celebration"""
ElizabethtownKY,37.7031,-85.878,Id31,,"""Nature, Relax, Fun"""
IrvineCA,33.6846,-117.8231,Id32,,"""Party, Sightseeing, Food"""
SantaBarbraCA,34.4208,-119.6982,Id32,,"""Sports, Weather, Family"""
SanFranciscoCA,37.7749,-122.4194,Id32,,"""Fun, Relax, Celebration"""
AugustaGA,33.4751,-82.0104,Id4,,"""Sightseeing, Nature, Party"""
CharlotteNC,35.2271,-80.8431,Id4,,"""Food, Weather, Family"""
RaleighNC,35.7796,-78.6382,Id4,,"""Celebration, Relax, Sports"""
AmarilloTX,35.222,-101.8453,Id5,,"""Fun, Nature, Sightseeing"""
DoraNM,33.9387,-103.3366,id5,,"""Party, Family, Weather"""
HarrisonburgVA,38.4496,-78.8679,Id5,,"""Sports, Food, Relax"""
TannerAL,34.7315,-86.9824,id6,Issues fixed capitalized,"""Nature, Celebration, Fun"""
DecaturAL,34.6059,-86.9833,id6,"Issues fixed, capitalized","""Sightseeing, Party, Weather"""
ElkmontAL,34.9303,-86.985,id6,"Issues fixed, capitalized","""Family, Food, Fun"""
KennesawGA,34.0234,-84.6155,Id7,,"""Relax, Sports, Celebration"""
MariettaGA,33.9526,-84.5499,Id7,,"""Weather, Party, Sightseeing"""
DuluthGA,34.0029,-84.1446,Id7,,"""Nature, Fun, Food"""
OakRidgeTN,36.0104,-84.2696,Id7,,"""Celebration, Family, Relax"""
FayettevilleTN,35.152,-86.5705,Id8,,"""Sports, Sightseeing, Party"""
AustinTX,30.2672,-97.7431,Id9,,"""Fun, Weather, Nature"""
ArtesiaWellsTX,28.2813,-99.2858,Id9,,"""Relax, Food, Family"""
MonterreyNLMexico,25.6866,-100.3161,Id9,,"""Party, Celebration, Sightseeing"""
BaltimoreMD,39.2904,-76.6122,ld15,,"""Weather, Sports, Fun"""
BlacksburgVA,37.2296,-80.4139,ld15,,"""Food, Sightseeing"""
BristolTN,36.5951,-82.1887,ld15,,"""Sightseeing, Family, Sports"""
CorpusChristiTX,27.8006,-97.3964,Id0,,"""Weather, Relax, Celebration"""
SantaRosaNM,34.9387,-104.6825,Id0,,"""Weather, Fun, Food, Family"""
